Curculio elephas	Candidatus Curculioniphilus	Pseudomonadota
Curculio glandium	Candidatus Curculioniphilus	Pseudomonadota
Curculio pellitus	Candidatus Curculioniphilus	Pseudomonadota
Curculio robustus	Candidatus Curculioniphilus	Pseudomonadota
Curculio sikkimensis	Candidatus Curculioniphilus	Pseudomonadota
Curculio sikkimensis	Curculioniphilus	Pseudomonadota
Curculio sikkimensis	Rickettsia	Pseudomonadota
Curculio sikkimensis	Serratia	Pseudomonadota
Curculio sikkimensis	Sodalis	Pseudomonadota
Curculio sikkimensis	Spiroplasma	Mycoplasmatota
Curculio sikkimensis	Wolbachia	Pseudomonadota
Curculio venosus	Candidatus Curculioniphilus	Pseudomonadota
Cydia pomonella	Metschnikowia	Ascomycota
Daclera levana	Burkholderia	Pseudomonadota
Dactylopius ceylonicus	Candidatus Dactylopiibacterium	Pseudomonadota
Dactylopius coccus	Candidatus Dactylopiibacterium	Pseudomonadota
Dactylopius coccus	Spiroplasma	Mycoplasmatota
Dactylopius confusus	Candidatus Dactylopiibacterium	Pseudomonadota
Dactylopius opuntiae	Candidatus Dactylopiibacterium	Pseudomonadota
Daktulosphaira vitifoliae	Pantoea	Pseudomonadota
Danacea nigritarsis GER	Candidatus Dasytiphilus	Pseudomonadota
Danacea nigritarsis ITA	Candidatus Dasytiphilus	Pseudomonadota
Dasynus coccocinctus	Burkholderia	Pseudomonadota
Dasytes aeratus	Candidatus Dasytiphilus	Pseudomonadota
Dasytes alpigradus	Candidatus Dasytiphilus	Pseudomonadota
Dasytes lineellus	Candidatus Dasytiphilus	Pseudomonadota
Dasytes plumbeus	Candidatus Dasytiphilus	Pseudomonadota
Dasytes seminudus	Candidatus Dasytiphilus	Pseudomonadota
Dasytes virens	Candidatus Dasytiphilus	Pseudomonadota
Delia antiqua	Acinetobacter	Pseudomonadota
Delia antiqua	Arthrobacter	Actinomycetota
Delia antiqua	Citrobacter	Pseudomonadota
Delia antiqua	Enterobacter	Pseudomonadota
Delia antiqua	Lampropedia	Pseudomonadota
Delia antiqua	Leucobacter	Actinomycetota
Delia antiqua	Morganella	Pseudomonadota
Delia antiqua	Ochrobactrum	Pseudomonadota
Delia antiqua	Paenibacillus	Bacillota
Delia antiqua	Pseudomonas	Pseudomonadota
Delia antiqua	Rhodococcus	Pseudomonadota
Delia antiqua	Serratia	Pseudomonadota
Delia antiqua	Sphingobacterium	Bacteroidota
Delia antiqua	Stenotrophomonas	Pseudomonadota
Delia lupini	Klebsiella	Pseudomonadota
Delia lupini	Pseudomonas	Pseudomonadota
Delia radicum	Wolbachia	Pseudomonadota
Dendroctonus	Rahnella	Pseudomonadota
Dendroctonus adjunctus	Serratia	Pseudomonadota
Dendroctonus frontalis	Streptomyces	Actinomycetota
Dendroctonus micans	Endoconidiophora	Ascomycota
Dendroctonus micans	Leptographium	Ascomycota
Dendroctonus micans	Ophiostoma	Ascomycota
Dendroctonus ponderosae	Burkholderia	Pseudomonadota
Dendroctonus ponderosae	Grosmannia	Ascomycota
Dendroctonus ponderosae	Leptographium	Ascomycota
Dendroctonus ponderosae	Ophiostoma	Ascomycota
Dendroctonus ponderosae	Pseudomonas	Pseudomonadota
Dendroctonus ponderosae	Rahnella	Pseudomonadota
Dendroctonus ponderosae	Serratia	Pseudomonadota
Dendroctonus rhizophagus	Cyberlindnera	Ascomycota
Dendroctonus rhizophagus	Rahnella	Pseudomonadota
Dendroctonus rufipennis	Leptographium	Ascomycota
Dendroctonus simplex	Spiroplasma	Mycoplasmatota
Dendroctonus valens	Burkholderia	Pseudomonadota
Dendroctonus valens	Leptographium	Ascomycota
Dendroctonus valens	Novosphingobium	Pseudomonadota
Dendroctonus valens	Ophiostoma	Ascomycota
Dendroctonus valens	Pseudomonas	Pseudomonadota
Dendroctonus valens	Rahnella	Pseudomonadota
Dendroctonus valens	Rhodotorula	Basidiomycota
Dendroctonus valens	Serratia	Pseudomonadota
Diabrotica virgifera	Wolbachia	Pseudomonadota
Diabrotica virgifera virgifera	Wolbachia	Pseudomonadota
Dianemobius sp.	Wolbachia	Pseudomonadota
Diaphorina citri	Acremonium	Ascomycota
Diaphorina citri	Arsenophonus	Pseudomonadota
Diaphorina citri	Candidatus Carsonella	Pseudomonadota
Diaphorina citri	Candidatus Kirkpatrickella	Pseudomonadota
Diaphorina citri	Candidatus Profftella	Pseudomonadota
Diaphorina citri	Escherichia	Pseudomonadota
Diaphorina citri	Golubevia	Basidiomycota
Diaphorina citri	Liberibacter	Pseudomonadota
Diaphorina citri	Wolbachia	Pseudomonadota
Diatraea saccharalis	Bacillus	Bacillota
Diatraea saccharalis	Enterococcus	Bacillota
Diatraea saccharalis	Fusarium	Ascomycota
Diatraea saccharalis	Klebsiella	Pseudomonadota
Diatraea saccharalis	Meyerozyma	Ascomycota
Diatraea saccharalis	Microbacterium	Actinomycetota
Diatraea saccharalis	Pseudomonas	Pseudomonadota
Diatraea saccharalis	Stenotrophomonas	Pseudomonadota
Diceroprocta semicincta	Candidatus Karelsulcia	Bacteroidota
Diceroprocta semicincta	Candidatus Hodgkinia	Pseudomonadota
Diceroprocta semicincta	Frischella	Pseudomonadota
Dimorphopterus pallipes	Burkholderia	Pseudomonadota
Diuraphis noxia	Buchnera	Pseudomonadota
Dolycoris baccarum	Pantoea	Pseudomonadota
Donacia bicoloricornis	Candidatus Macropleicola	Pseudomonadota
Donacia cincticornis	Candidatus Macropleicola	Pseudomonadota
Donacia cinerea	Candidatus Macropleicola	Pseudomonadota
Donacia clavipes	Candidatus Macropleicola	Pseudomonadota
Donacia crassipes	Candidatus Macropleicola	Pseudomonadota
Donacia dentata	Candidatus Macropleicola	Pseudomonadota
Donacia fulgens	Candidatus Macropleicola	Pseudomonadota
Donacia marginata	Candidatus Macropleicola	Pseudomonadota
Donacia piscatrix	Candidatus Macropleicola	Pseudomonadota
Donacia provostii	Candidatus Macropleicola	Pseudomonadota
Donacia proxima	Candidatus Macropleicola	Pseudomonadota
Donacia semicuprea	Candidatus Macropleicola	Pseudomonadota
Donacia simplex	Candidatus Macropleicola	Pseudomonadota
Donacia sparganii	Candidatus Macropleicola	Pseudomonadota
Donacia thalassina	Candidatus Macropleicola	Pseudomonadota
Donacia tomentosa	Candidatus Macropleicola	Pseudomonadota
Donacia versicolorea	Candidatus Macropleicola	Pseudomonadota
Donacia vulgaris	Candidatus Macropleicola	Pseudomonadota
